Subject,Predicate,Object
Embroidered Blue Silk Jacket,创作者,unknown
Embroidered Blue Silk Jacket,类别,clothing
Embroidered Blue Silk Jacket,捐赠来源,Gift of Sandy and Cécile Mactaggart
Embroidered Blue Silk Jacket,文化,Chinese
Embroidered Blue Silk Jacket,制作时间,date unknown
Embroidered Blue Silk Jacket,材质,blue silk satin embroidered with silk and metal-wrapped threads
Embroidered Blue Silk Jacket,尺寸,overall: 63.5 cm x 121.8 cm; neck to hem: 63.5 cm; cuff to cuff: x 121.8 cm
Embroidered Blue Silk Jacket,对象类型,jacket
Embroidered Blue Silk Jacket,时期,Qing 19th century
Embroidered Blue Silk Jacket,制作地点,China
Blue Silk Gauze Dragon Robe for a Man,创作者,unknown
Blue Silk Gauze Dragon Robe for a Man,类别,clothing
Blue Silk Gauze Dragon Robe for a Man,捐赠来源,Gift of Sandy and Cécile Mactaggart
Blue Silk Gauze Dragon Robe for a Man,文化,Chinese
Blue Silk Gauze Dragon Robe for a Man,制作时间,1900 - 1912
Blue Silk Gauze Dragon Robe for a Man,材质,dark blue silk gauze brocaded with metal-wrapped threads
Blue Silk Gauze Dragon Robe for a Man,尺寸,overall: 137 cm x 93.2 cm; neck to hem: 137 cm
Blue Silk Gauze Dragon Robe for a Man,对象类型,robe
Blue Silk Gauze Dragon Robe for a Man,时期,Qing 20th century
Blue Silk Gauze Dragon Robe for a Man,制作地点,China
Embroidered Red Silk Jacket for a Woman,创作者,unknown
Embroidered Red Silk Jacket for a Woman,类别,clothing
Embroidered Red Silk Jacket for a Woman,捐赠来源,Gift of Sandy and Cécile Mactaggart
Embroidered Red Silk Jacket for a Woman,文化,Chinese
Embroidered Red Silk Jacket for a Woman,制作时间,ca. 1880
Embroidered Red Silk Jacket for a Woman,材质,red silk damask embroidered with silk and metal-wrapped threads
Embroidered Red Silk Jacket for a Woman,尺寸,overall: 91.1 cm x 160.5 cm
Embroidered Red Silk Jacket for a Woman,对象类型,jacket
Embroidered Red Silk Jacket for a Woman,时期,Qing 19th century
Embroidered Red Silk Jacket for a Woman,制作地点,China
Back Panel of a Rank Badge for a First Rank Civil Official,创作者,unknown
Back Panel of a Rank Badge for a First Rank Civil Official,类别,textiles
Back Panel of a Rank Badge for a First Rank Civil Official,捐赠来源,Gift of Sandy and Cécile Mactaggart
Back Panel of a Rank Badge for a First Rank Civil Official,文化,Chinese
Back Panel of a Rank Badge for a First Rank Civil Official,制作时间,1862-1874
Back Panel of a Rank Badge for a First Rank Civil Official,描述,"Rank badges, always made in pairs, were placed on the front and back of surcoats in order to communicate their wearer’s rank during the Ming (1368-1644) and Qing dynasties (1644-1911). Different motifs were regulated by the imperial court, including bird motifs used only for civil officials, while beasts were used for military officials. The hierarchy of ranks within these categories was represented by specific birds and beasts. This rank badge features a crane, representing a first rank civil official. It is centrally-positioned, perched on a rock with its wings outstretched, gazing toward the sun in the upper left corner. Surrounding the birds are peonies, clouds, and auspicious ornaments."
Back Panel of a Rank Badge for a First Rank Civil Official,材质,copper-wrapped silk thread; gold wrapped silk thread; ink; linen; silk; silver wrapped silk thread; tapestry weave
Back Panel of a Rank Badge for a First Rank Civil Official,尺寸,overall: 28.9 cm x 31.4 cm
Back Panel of a Rank Badge for a First Rank Civil Official,对象类型,rank badge
Back Panel of a Rank Badge for a First Rank Civil Official,时期,Qing 19th century
Back Panel of a Rank Badge for a First Rank Civil Official,制作地点,China
brown inscribed stone,类别,Personal Gear
brown inscribed stone,捐赠来源,Bequest of Lois Hole
brown inscribed stone,制作时间,2003
brown inscribed stone,描述,"Brown round stone, fairly flat inscribed with a gilded Chinese character on one side, and with the word 'Health' on the other."
brown inscribed stone,对象类型,talisman
Embroidered Silk Chair Cover,创作者,unknown
Embroidered Silk Chair Cover,类别,textiles
Embroidered Silk Chair Cover,捐赠来源,Gift of Sandy and Cécile Mactaggart
Embroidered Silk Chair Cover,文化,Chinese
Embroidered Silk Chair Cover,制作时间,1662-1722
Embroidered Silk Chair Cover,描述,(bird looking left)
Embroidered Silk Chair Cover,材质,silk floss; silk twill; metallic thread; embroidery
Embroidered Silk Chair Cover,尺寸,overall: 134.8 cm x 53.1 cm
Embroidered Silk Chair Cover,对象类型,chair cover
Embroidered Silk Chair Cover,时期,Qing 17th-18th centuries
Embroidered Silk Chair Cover,制作地点,China
Silk Tapestry Weave Collar from a Court Robe,创作者,unknown
Silk Tapestry Weave Collar from a Court Robe,类别,clothing
Silk Tapestry Weave Collar from a Court Robe,捐赠来源,Gift of Sandy and Cécile Mactaggart
Silk Tapestry Weave Collar from a Court Robe,文化,Chinese
Silk Tapestry Weave Collar from a Court Robe,制作时间,date unknown
Silk Tapestry Weave Collar from a Court Robe,材质,gold wrapped silk thread; silk damask; silk satin; silk tapestry weave
Silk Tapestry Weave Collar from a Court Robe,尺寸,overall: 108 cm x 109.5 cm
Silk Tapestry Weave Collar from a Court Robe,对象类型,collar
Silk Tapestry Weave Collar from a Court Robe,时期,Qing 19th century
Silk Tapestry Weave Collar from a Court Robe,制作地点,China
Right Panel from Pair of Dark Blue Brocade Panel,创作者,unknown
Right Panel from Pair of Dark Blue Brocade Panel,类别,textiles
Right Panel from Pair of Dark Blue Brocade Panel,捐赠来源,Gift of Sandy and Cécile Mactaggart
Right Panel from Pair of Dark Blue Brocade Panel,文化,Chinese
Right Panel from Pair of Dark Blue Brocade Panel,制作时间,late 19th - early 20th century
Right Panel from Pair of Dark Blue Brocade Panel,描述,"Right panel from a pair of dark blue silk brocade panels with a design of a flower vase and pendants at the top of the panel, followed by a five-clawed dragon, a round flower and lingzhi medallion and a pair of lion dogs flanking a pavillion on the bottom."
Right Panel from Pair of Dark Blue Brocade Panel,材质,Dyed silk brocade with glazed gilt wood frame
Right Panel from Pair of Dark Blue Brocade Panel,尺寸,overall: 166.6 cm x 53.8 cm x 3 cm
Right Panel from Pair of Dark Blue Brocade Panel,对象类型,panel
Right Panel from Pair of Dark Blue Brocade Panel,时期,Qing 19th-20th centuries
Right Panel from Pair of Dark Blue Brocade Panel,制作地点,China
Landscape After Wang Meng,创作者,Gu Fang
Landscape After Wang Meng,类别,paintings
Landscape After Wang Meng,捐赠来源,Gift of Sandy and Cécile Mactaggart
Landscape After Wang Meng,文化,Chinese
Landscape After Wang Meng,制作时间,1692
Landscape After Wang Meng,描述,A hanging scroll painting of a mountain landscape in the style of Wang Meng.
Landscape After Wang Meng,题跋,"Signed by Yunjian Gu Fang and impressed with 2 seals of the artist.  The scroll is also inscribed and impressed with a seal by Wang Hui (1632-1717), and is impressed with 4 collector's seals."
Landscape After Wang Meng,材质,ink on paper
Landscape After Wang Meng,尺寸,sheet: 286.8 cm x 67.6 cm; image: 100.6 cm x 47.1 cm
Landscape After Wang Meng,对象类型,hanging scroll
Landscape After Wang Meng,时期,Qing 17th-18th centuries
Landscape After Wang Meng,制作地点,China
Embroidered Blue Silk Gauze Court Dragon Robe for a Man,创作者,unknown
Embroidered Blue Silk Gauze Court Dragon Robe for a Man,类别,clothing
Embroidered Blue Silk Gauze Court Dragon Robe for a Man,捐赠来源,Gift of Sandy and Cécile Mactaggart
Embroidered Blue Silk Gauze Court Dragon Robe for a Man,文化,Chinese
Embroidered Blue Silk Gauze Court Dragon Robe for a Man,制作时间,date unknown
Embroidered Blue Silk Gauze Court Dragon Robe for a Man,材质,dark blue silk gauze embroidered with metal-wrapped threads
Embroidered Blue Silk Gauze Court Dragon Robe for a Man,尺寸,overall: 137 cm x 140 cm
Embroidered Blue Silk Gauze Court Dragon Robe for a Man,对象类型,robe
Embroidered Blue Silk Gauze Court Dragon Robe for a Man,时期,Qing 19th century
Embroidered Blue Silk Gauze Court Dragon Robe for a Man,制作地点,China
Album Leaf from Illustrations of Chinese Costumes,创作者,unknown
Album Leaf from Illustrations of Chinese Costumes,类别,albums
Album Leaf from Illustrations of Chinese Costumes,捐赠来源,Gift of Sandy and Cécile Mactaggart
Album Leaf from Illustrations of Chinese Costumes,文化,Chinese
Album Leaf from Illustrations of Chinese Costumes,制作时间,date unknown
Album Leaf from Illustrations of Chinese Costumes,描述,"This album leaf is a part of a 48-page album that depicts Chinese subjects participating in various aspects of daily life, including government business, daily life, cultural customs, modes of transportation, and corporal punishment. This leaf contains an ink and watercolour depiction of a female dancer and a male merchant. The woman, left, stands on one leg and holds an instrument above her head. The man, right, wears a long jacket and conical hat while holding a fan."
Album Leaf from Illustrations of Chinese Costumes,材质,ink; paper
Album Leaf from Illustrations of Chinese Costumes,尺寸,sheet: 17.2 cm x 27.9 cm; image: 12.1 cm x 16.4 cm
Album Leaf from Illustrations of Chinese Costumes,对象类型,album leaf
Album Leaf from Illustrations of Chinese Costumes,时期,Qing 18th century
Album Leaf from Illustrations of Chinese Costumes,制作地点,China
Album Leaf from Illustrations of Chinese Costumes,创作者,unknown
Album Leaf from Illustrations of Chinese Costumes,类别,albums
Album Leaf from Illustrations of Chinese Costumes,捐赠来源,Gift of Sandy and Cécile Mactaggart
Album Leaf from Illustrations of Chinese Costumes,文化,Chinese
Album Leaf from Illustrations of Chinese Costumes,制作时间,date unknown
Album Leaf from Illustrations of Chinese Costumes,描述,"This album leaf is a part of a 48-page album that depicts Chinese subjects participating in various aspects of daily life, including government business, daily life, cultural customs, modes of transportation, and corporal punishment. This leaf contains ink and watercolour depictions of three figures – two priests (labelled as “padre”) and one priestess. The figure on the left wears a long dark grey robe with very wide sleeves, a dark grey head cover, and black shoes. The middle figure wears a mid-length brown robe with wide sleeves over a blue pleated skirt and blue shoes. She also has a straw hat and a bag slung over her shoulder. The figure on the right is wearing a long brown robe, small black cap, and black shoes. He also carries a ruyi, a type of decorated sceptre, and had a decorated belt with a long tassel."
Album Leaf from Illustrations of Chinese Costumes,材质,ink; paper
Album Leaf from Illustrations of Chinese Costumes,尺寸,sheet: 17.2 cm x 28 cm; image: 11.4 cm x 18.5 cm
Album Leaf from Illustrations of Chinese Costumes,对象类型,album leaf
Album Leaf from Illustrations of Chinese Costumes,时期,Qing 18th century
Album Leaf from Illustrations of Chinese Costumes,制作地点,China
Silk Brocade Yardage for a Robe,创作者,unknown
Silk Brocade Yardage for a Robe,类别,textiles
Silk Brocade Yardage for a Robe,捐赠来源,Gift of Sandy and Cécile Mactaggart
Silk Brocade Yardage for a Robe,文化,Chinese
Silk Brocade Yardage for a Robe,制作时间,date unknown
Silk Brocade Yardage for a Robe,材质,cotton; silk brocade
Silk Brocade Yardage for a Robe,尺寸,overall: 222 cm x 202 cm
Silk Brocade Yardage for a Robe,对象类型,yardage
Silk Brocade Yardage for a Robe,时期,Qing 19th century
Silk Brocade Yardage for a Robe,制作地点,China
Album Leaf from Illustrations of Costumes from the Qianlong Court,创作者,unknown
Album Leaf from Illustrations of Costumes from the Qianlong Court,类别,albums
Album Leaf from Illustrations of Costumes from the Qianlong Court,捐赠来源,Gift of Sandy and Cécile Mactaggart
Album Leaf from Illustrations of Costumes from the Qianlong Court,文化,Chinese
Album Leaf from Illustrations of Costumes from the Qianlong Court,制作时间,ca. 1759
Album Leaf from Illustrations of Costumes from the Qianlong Court,描述,"This album leaf is part of a section of the illustrations of costumes from the Qianlong court, Huangchao liqi tushi (“The Regulations for the Ceremonial Paraphernalia of the [Qing] Dynasty”). In total there are 34 folios that depict costumes appropriate for the Empress Dowager or Empress to wear at the imperial court along with short descriptive captions. This folio features a large red imperial seal on gold-flecked paper."
Album Leaf from Illustrations of Costumes from the Qianlong Court,题跋,The seal impression reads: 五福五代堂古稀天子寶 'Treasure of the Septuagenary Son of Heaven and the Five Generations in the Hall of the Five Happinesses'
Album Leaf from Illustrations of Costumes from the Qianlong Court,材质,ink; silk; paper
Album Leaf from Illustrations of Costumes from the Qianlong Court,尺寸,sheet: 42.2 cm x 81.7 cm; image: 12.7 cm x 12.7 cm
Album Leaf from Illustrations of Costumes from the Qianlong Court,对象类型,album leaf
Album Leaf from Illustrations of Costumes from the Qianlong Court,时期,Qing 18th century
Album Leaf from Illustrations of Costumes from the Qianlong Court,制作地点,China
Print from the Qianlong Emperor’s Conquests,创作者,unknown
Print from the Qianlong Emperor’s Conquests,类别,prints
Print from the Qianlong Emperor’s Conquests,捐赠来源,Gift of Sandy and Cécile Mactaggart
Print from the Qianlong Emperor’s Conquests,文化,Chinese
Print from the Qianlong Emperor’s Conquests,制作时间,1767-1774
Print from the Qianlong Emperor’s Conquests,描述,"A printed calligraphic piece with two square red seals.  This manuscript goes along with engraving .68.1.29. It is number 12, chronologically, in the set of 16 copperplate engravings."
Print from the Qianlong Emperor’s Conquests,材质,silk; paper; ink
Print from the Qianlong Emperor’s Conquests,尺寸,overall: 63.1 cm x 112.4 cm; image: 52.2 cm x 93 cm
Print from the Qianlong Emperor’s Conquests,对象类型,print
Print from the Qianlong Emperor’s Conquests,时期,Qing 18th century
Print from the Qianlong Emperor’s Conquests,制作地点,China
Two Embroidered Cream Silk Sleeve Bands,创作者,unknown
Two Embroidered Cream Silk Sleeve Bands,类别,clothing
Two Embroidered Cream Silk Sleeve Bands,捐赠来源,Gift of Sandy and Cécile Mactaggart
Two Embroidered Cream Silk Sleeve Bands,文化,Chinese
Two Embroidered Cream Silk Sleeve Bands,制作时间,date unknown
Two Embroidered Cream Silk Sleeve Bands,材质,silk floss; silk satin; rhinestone; plastic beads; mylar gold braid
Two Embroidered Cream Silk Sleeve Bands,对象类型,sleeve band
Two Embroidered Cream Silk Sleeve Bands,时期,Qing 18th-19th centuries
Two Embroidered Cream Silk Sleeve Bands,制作地点,China
Landscape After Dong Qichang,创作者,Wang Hui
Landscape After Dong Qichang,类别,paintings
Landscape After Dong Qichang,捐赠来源,Gift of Sandy and Cécile Mactaggart
Landscape After Dong Qichang,文化,Chinese
Landscape After Dong Qichang,制作时间,1694
Landscape After Dong Qichang,描述,"A hanging scroll painting of a mountainous river landscape, painted in the style of Dong Qichang."
Landscape After Dong Qichang,题跋,"The scroll is signed by Gengan Sanren, Wang Hui and is inscribed with a poem.  The scroll is impressed with 4 artist seals."
Landscape After Dong Qichang,材质,ink and colour on paper
Landscape After Dong Qichang,尺寸,overall: 182.9 cm x 53.8 cm; image: 54.5 cm x 34.2 cm; rolled: 6.5 cm x 63.5 cm x 5 cm
Landscape After Dong Qichang,对象类型,hanging scroll
Landscape After Dong Qichang,时期,Qing 17th century
Landscape After Dong Qichang,制作地点,China
Two Blue Silk Panels made from Fragments of a Woman's Skirt,创作者,unknown
Two Blue Silk Panels made from Fragments of a Woman's Skirt,类别,textiles
Two Blue Silk Panels made from Fragments of a Woman's Skirt,捐赠来源,Gift of Sandy and Cécile Mactaggart
Two Blue Silk Panels made from Fragments of a Woman's Skirt,文化,Chinese
Two Blue Silk Panels made from Fragments of a Woman's Skirt,制作时间,ca. 1900
Two Blue Silk Panels made from Fragments of a Woman's Skirt,材质,silk; embroidery; braid
Two Blue Silk Panels made from Fragments of a Woman's Skirt,对象类型,panel
Two Blue Silk Panels made from Fragments of a Woman's Skirt,时期,Qing 19th-20th centuries
Two Blue Silk Panels made from Fragments of a Woman's Skirt,制作地点,China
Embroidered Magenta Silk Damask Jacket for a Woman,创作者,unknown
Embroidered Magenta Silk Damask Jacket for a Woman,类别,clothing
Embroidered Magenta Silk Damask Jacket for a Woman,捐赠来源,Gift of Sandy and Cécile Mactaggart
Embroidered Magenta Silk Damask Jacket for a Woman,文化,Chinese
Embroidered Magenta Silk Damask Jacket for a Woman,制作时间,ca. 1900
Embroidered Magenta Silk Damask Jacket for a Woman,材质,dark pink silk damask with embroidered off-white silk damask sleeve bands and pale gray silk satin facings
Embroidered Magenta Silk Damask Jacket for a Woman,尺寸,overall: 98.1 cm x 144.9 cm
Embroidered Magenta Silk Damask Jacket for a Woman,对象类型,jacket
Embroidered Magenta Silk Damask Jacket for a Woman,时期,Qing 20th century
Embroidered Magenta Silk Damask Jacket for a Woman,制作地点,China
Right Side of the Front Panel of a Rank Badge,创作者,unknown
Right Side of the Front Panel of a Rank Badge,类别,textiles
Right Side of the Front Panel of a Rank Badge,捐赠来源,Gift of Sandy and Cécile Mactaggart
Right Side of the Front Panel of a Rank Badge,文化,Chinese
Right Side of the Front Panel of a Rank Badge,制作时间,date unknown
Right Side of the Front Panel of a Rank Badge,材质,gold wrapped silk thread; silk; silk floss; silk satin; silver wrapped silk thread; embroidery
Right Side of the Front Panel of a Rank Badge,尺寸,overall: 27.5 cm x 11.2 cm
Right Side of the Front Panel of a Rank Badge,对象类型,rank badge
Right Side of the Front Panel of a Rank Badge,时期,Qing 19th century
Right Side of the Front Panel of a Rank Badge,制作地点,China
"Magnificent Record of the Southern Tours, volumes 21, chapters 51-52",创作者,Gao Jin
"Magnificent Record of the Southern Tours, volumes 21, chapters 51-52",类别,published works
"Magnificent Record of the Southern Tours, volumes 21, chapters 51-52",捐赠来源,Gift of Sandy and Cécile Mactaggart
"Magnificent Record of the Southern Tours, volumes 21, chapters 51-52",文化,Chinese
"Magnificent Record of the Southern Tours, volumes 21, chapters 51-52",制作时间,1771
"Magnificent Record of the Southern Tours, volumes 21, chapters 51-52",描述,"One set of the Yuzhi nanxun shengdian [Magnificent Record of the Southern Tours], edited by Gao Jin et al. Volumes 21, Chapter 51-52. Hefang [River conservation]. Woodblock printed, thread binding."
"Magnificent Record of the Southern Tours, volumes 21, chapters 51-52",材质,"printed woodblock, thread binding"
"Magnificent Record of the Southern Tours, volumes 21, chapters 51-52",尺寸,overall: 29.8 cm x 20.5 cm
"Magnificent Record of the Southern Tours, volumes 21, chapters 51-52",对象类型,book
"Magnificent Record of the Southern Tours, volumes 21, chapters 51-52",制作地点,China: Beijing
"Qianlong Emperor's Southern Inspection Tour, Scroll Two: Crossing the Grand Canal at Dezhou Handscroll with Storage Box",创作者,Xu Yang
"Qianlong Emperor's Southern Inspection Tour, Scroll Two: Crossing the Grand Canal at Dezhou Handscroll with Storage Box",类别,paintings
"Qianlong Emperor's Southern Inspection Tour, Scroll Two: Crossing the Grand Canal at Dezhou Handscroll with Storage Box",捐赠来源,Gift of Sandy and Cécile Mactaggart
"Qianlong Emperor's Southern Inspection Tour, Scroll Two: Crossing the Grand Canal at Dezhou Handscroll with Storage Box",文化,Chinese
"Qianlong Emperor's Southern Inspection Tour, Scroll Two: Crossing the Grand Canal at Dezhou Handscroll with Storage Box",制作时间,date unknown
"Qianlong Emperor's Southern Inspection Tour, Scroll Two: Crossing the Grand Canal at Dezhou Handscroll with Storage Box",描述,A handscroll painting with lacquer storage box.
"Qianlong Emperor's Southern Inspection Tour, Scroll Two: Crossing the Grand Canal at Dezhou Handscroll with Storage Box",材质,ink and colour on silk
"Qianlong Emperor's Southern Inspection Tour, Scroll Two: Crossing the Grand Canal at Dezhou Handscroll with Storage Box",尺寸,sheet: 72.6 cm x 2433.1 cm; image: 68.9 cm x 1533.9 cm
"Qianlong Emperor's Southern Inspection Tour, Scroll Two: Crossing the Grand Canal at Dezhou Handscroll with Storage Box",对象类型,handscroll set
"Qianlong Emperor's Southern Inspection Tour, Scroll Two: Crossing the Grand Canal at Dezhou Handscroll with Storage Box",时期,Qing 18th century
"Qianlong Emperor's Southern Inspection Tour, Scroll Two: Crossing the Grand Canal at Dezhou Handscroll with Storage Box",制作地点,China
A Pair of Silk Brocade Panels made from Fragments of a Dragon Robe,创作者,unknown
A Pair of Silk Brocade Panels made from Fragments of a Dragon Robe,类别,textiles
A Pair of Silk Brocade Panels made from Fragments of a Dragon Robe,捐赠来源,Gift of Sandy and Cécile Mactaggart
A Pair of Silk Brocade Panels made from Fragments of a Dragon Robe,文化,Chinese
A Pair of Silk Brocade Panels made from Fragments of a Dragon Robe,制作时间,date unknown
A Pair of Silk Brocade Panels made from Fragments of a Dragon Robe,材质,metallic thread; silk; silk jacquard; silk satin
A Pair of Silk Brocade Panels made from Fragments of a Dragon Robe,对象类型,panel
A Pair of Silk Brocade Panels made from Fragments of a Dragon Robe,时期,Qing 19th century
A Pair of Silk Brocade Panels made from Fragments of a Dragon Robe,制作地点,China
Blue Silk Tapestry Weave Surcoat for a Man,创作者,unknown
Blue Silk Tapestry Weave Surcoat for a Man,类别,clothing
Blue Silk Tapestry Weave Surcoat for a Man,捐赠来源,Gift of Sandy and Cécile Mactaggart
Blue Silk Tapestry Weave Surcoat for a Man,文化,Chinese
Blue Silk Tapestry Weave Surcoat for a Man,制作时间,date unknown
Blue Silk Tapestry Weave Surcoat for a Man,描述,"A dark blue silk surcoat (or bufu) with tapestry woven rank badges on the front and back. There is a crane, recognizable with a red cap on its head, depicted on the square rank badges, identifying the wearer as a first-rank civil official. The position of the sun on the left side of the badge (the wearer's right side) indicates that the wearer is a man. Auspicious symbols, including bats for good fortune and a geometric wan - multiplying good fortune by an infinite amount - in the background, surround the crane and there is a standing water and waves motif below. This surcoat has a typical front opening with five brass buttons, two side vents, and a standing collar. The standing collar is not a typical design feature on surcoats, which can be seen when compared to other examples in the collection, such as Blue Silk Gauze Surcoat for a Man (2005.5.93). This robe design has likely been modified from a traditional surcoat, including longer and narrower sleeves, and may not be typical official’s attire. The lining fabric is a pale blue plain weave silk."
Blue Silk Tapestry Weave Surcoat for a Man,材质,dark blue silk with silk and metal-wrapped thread tapestry weave rank badges
Blue Silk Tapestry Weave Surcoat for a Man,尺寸,overall: 121.5 cm x 169 cm; neck to hem: 121.5 cm; cuff to cuff: x 169 cm
Blue Silk Tapestry Weave Surcoat for a Man,对象类型,surcoat
Blue Silk Tapestry Weave Surcoat for a Man,时期,Qing 19th century
Blue Silk Tapestry Weave Surcoat for a Man,制作地点,China
Embroidered Yellow Silk Sleeve Band,创作者,unknown
Embroidered Yellow Silk Sleeve Band,类别,clothing
Embroidered Yellow Silk Sleeve Band,捐赠来源,Gift of Sandy and Cécile Mactaggart
Embroidered Yellow Silk Sleeve Band,文化,Chinese
Embroidered Yellow Silk Sleeve Band,制作时间,date unknown
Embroidered Yellow Silk Sleeve Band,材质,silk floss; silk satin; silk twist
Embroidered Yellow Silk Sleeve Band,尺寸,overall: 89.2 cm x 12.4 cm
Embroidered Yellow Silk Sleeve Band,对象类型,sleeve band
Embroidered Yellow Silk Sleeve Band,时期,Qing 19th century
Embroidered Yellow Silk Sleeve Band,制作地点,China
Embroidered Silk Legging for a Woman,创作者,unknown
Embroidered Silk Legging for a Woman,类别,clothing
Embroidered Silk Legging for a Woman,捐赠来源,Gift of Sandy and Cécile Mactaggart
Embroidered Silk Legging for a Woman,文化,Chinese
Embroidered Silk Legging for a Woman,制作时间,date unknown
Embroidered Silk Legging for a Woman,材质,silk damask edged with blue and black silk satin borders embroidered with silk and metal-wrapped threads
Embroidered Silk Legging for a Woman,尺寸,overall: 69 cm x 40.4 cm
Embroidered Silk Legging for a Woman,对象类型,leggings
Embroidered Silk Legging for a Woman,时期,Qing 19th century
Embroidered Silk Legging for a Woman,制作地点,China
Print from the Qianlong Emperor’s Conquests,创作者,unknown
Print from the Qianlong Emperor’s Conquests,类别,prints
Print from the Qianlong Emperor’s Conquests,捐赠来源,Gift of Sandy and Cécile Mactaggart
Print from the Qianlong Emperor’s Conquests,文化,Chinese
Print from the Qianlong Emperor’s Conquests,制作时间,1767-1774
Print from the Qianlong Emperor’s Conquests,描述,A blank piece composed of two pieces of paper mounted side-by-side with a visible seam between the two.
Print from the Qianlong Emperor’s Conquests,材质,ink; silk; paper
Print from the Qianlong Emperor’s Conquests,尺寸,overall: 63.4 cm x 112.5 cm; image: 49.2 cm x 92 cm
Print from the Qianlong Emperor’s Conquests,对象类型,print
Print from the Qianlong Emperor’s Conquests,时期,Qing 18th century
Print from the Qianlong Emperor’s Conquests,制作地点,China
Album Leaf from Figures in River Landscapes,创作者,Wang Gai
Album Leaf from Figures in River Landscapes,类别,albums
Album Leaf from Figures in River Landscapes,捐赠来源,Gift of Sandy and Cécile Mactaggart
Album Leaf from Figures in River Landscapes,文化,Chinese
Album Leaf from Figures in River Landscapes,制作时间,1702
Album Leaf from Figures in River Landscapes,描述,"This is the fourth leaf from the Figures in River Landscape album by Wang Gai (1677-1705), which is painted with ink and colour on paper. Each leaf contains a landscape, which was painted in situ by Wang Gai. Repeating themes throughout the album include figures immersed in the natural environment, which reflects the literati’s yearning and nostalgia.
In this scene, a fisherman sits on a boat watching a flock of birds fly towards the horizon. He appears relaxed, with a fishing line hanging off the side of the boat. The three clusters of river bamboo on the side of the boat are painted with different tones of black ink to indicate depth. The fading of the distant bamboo into the background is a technique found throughout this album."
Album Leaf from Figures in River Landscapes,材质,ink and colour on paper
Album Leaf from Figures in River Landscapes,对象类型,album leaf
Album Leaf from Figures in River Landscapes,时期,Qing 18th century
Album Leaf from Figures in River Landscapes,制作地点,China
Yellow Silk Brocade Hanging,创作者,unknown
Yellow Silk Brocade Hanging,类别,textiles
Yellow Silk Brocade Hanging,捐赠来源,Gift of Sandy and Cécile Mactaggart
Yellow Silk Brocade Hanging,文化,Chinese
Yellow Silk Brocade Hanging,制作时间,ca. 1800
Yellow Silk Brocade Hanging,材质,gold wrapped silk thread; silk; silk brocade; silk satin; silk floss
Yellow Silk Brocade Hanging,尺寸,overall: 157 cm x 63 cm
Yellow Silk Brocade Hanging,对象类型,hanging
Yellow Silk Brocade Hanging,时期,Qing 19th century
Yellow Silk Brocade Hanging,制作地点,China
Red Silk Brocade Yardage with the Hundred Boys Pattern,创作者,unknown
Red Silk Brocade Yardage with the Hundred Boys Pattern,类别,textiles
Red Silk Brocade Yardage with the Hundred Boys Pattern,捐赠来源,Gift of Sandy and Cécile Mactaggart
Red Silk Brocade Yardage with the Hundred Boys Pattern,文化,Chinese
Red Silk Brocade Yardage with the Hundred Boys Pattern,制作时间,date unknown
Red Silk Brocade Yardage with the Hundred Boys Pattern,材质,gold wrapped silk thread; silk brocade
Red Silk Brocade Yardage with the Hundred Boys Pattern,尺寸,overall: 331.5 cm x 68.6 cm
Red Silk Brocade Yardage with the Hundred Boys Pattern,对象类型,yardage
Red Silk Brocade Yardage with the Hundred Boys Pattern,时期,Qing 19th century
Red Silk Brocade Yardage with the Hundred Boys Pattern,制作地点,China
Front and Back Panels of a Rank Badge for a Fourth Rank Military Official,创作者,unknown
Front and Back Panels of a Rank Badge for a Fourth Rank Military Official,类别,textiles
Front and Back Panels of a Rank Badge for a Fourth Rank Military Official,捐赠来源,Gift of Sandy and Cécile Mactaggart
Front and Back Panels of a Rank Badge for a Fourth Rank Military Official,文化,Chinese
Front and Back Panels of a Rank Badge for a Fourth Rank Military Official,制作时间,1821-1850
Front and Back Panels of a Rank Badge for a Fourth Rank Military Official,描述,"Rank badges, always made in pairs, were placed on the front and back of surcoats in order to communicate their wearer’s rank during the Ming (1368-1644) and Qing dynasties (1644-1911). Different motifs were regulated by the imperial court, including bird motifs used only for civil officials, while beasts were used for military officials. The hierarchy of ranks within these categories was represented by specific birds and beasts. 
This pair of rank badges features a tiger, symbolizing a fourth rank military official. The tiger is crouching on a rock and surrounded by ruyi-shaped clouds. The pattern on the badge is embroidered with fine seed stitches. The border is adorned with bats and shou characters (symbolizing longevity)."
Front and Back Panels of a Rank Badge for a Fourth Rank Military Official,材质,silk; silk floss; silk satin; embroidery
Front and Back Panels of a Rank Badge for a Fourth Rank Military Official,对象类型,rank badge
Front and Back Panels of a Rank Badge for a Fourth Rank Military Official,时期,Qing 19th century
Front and Back Panels of a Rank Badge for a Fourth Rank Military Official,制作地点,China
Left Side of the Front Panel of a Rank Badge for a Fourth Rank Civil Official,创作者,unknown
Left Side of the Front Panel of a Rank Badge for a Fourth Rank Civil Official,类别,textiles
Left Side of the Front Panel of a Rank Badge for a Fourth Rank Civil Official,捐赠来源,Gift of Sandy and Cécile Mactaggart
Left Side of the Front Panel of a Rank Badge for a Fourth Rank Civil Official,文化,Chinese
Left Side of the Front Panel of a Rank Badge for a Fourth Rank Civil Official,制作时间,1862-1874
