Subject,Predicate,Object,ObjectLabel
2004.19.9.4,类别,albums,category
2005.5.294,制作地点,China,place
2005.5.570.2,文化,Chinese,culture
2004.19.68.1.15,制作时间,1767-1774,date
2004.19.25,标题,Plum Blossom,title
2010.20.1.2.2,文化,Chinese,culture
2015.8.4,类别,textiles,category
2005.5.536.1,制作时间,ca. 1900,date
2005.5.341,尺寸,overall: 71.1 cm x 4.8 cm,measurement
2004.19.1.1.15,捐赠来源,Gift of Sandy and Cécile Mactaggart,donor
2010.20.1.3.5,文化,Chinese,culture
2005.5.570.1.2,对象类型,rank badge,type
2005.5.548.2,类别,textiles,category
2005.5.385.1,时期,Qing 18th century,period
2004.19.85,创作者,Yun Shouping,artist
2009.8.5,标题,Embroidered Red Silk Robe for a Child,title
2005.5.503,文化,Chinese,culture
2005.5.574,时期,Qing 19th century,period
2004.19.38.1,时期,Qing 19th century,period
2010.21.10,文化,Chinese,culture
2004.19.76.1,对象类型,hanging scroll,type
2010.21.4,材质,Silk brocade embroidered with metal-wrapped threads and with glazed gilt wood frame,material
2005.5.562.1.2,制作地点,China,place
2005.5.414,类别,textiles,category
2004.19.68.1.13,文化,Chinese,culture
2005.5.437,捐赠来源,Gift of Sandy and Cécile Mactaggart,donor
2005.5.295.1,时期,Qing 19th century,period
2005.5.384.1,材料术语,Embroidery											 											  												 												 													 														View Materials Glossary Details »,glossary
2005.5.227,捐赠来源,Gift of Sandy and Cécile Mactaggart,donor
2005.5.556.1,时期,Qing 19th century,period
2005.5.426.1,描述,"The wool carpet throne cover features three five-clawed dragons, representing a harmonious relationship among them. It represents a typical imperial composition of numerous dragons, interpreted as a symbol of social order corresponding to Confucianism. These three dragons are surrounded by clouds, with rocks and waves below. The shape of the carpet corresponds to a throne chair.",description
2004.19.18,捐赠来源,Gift of Sandy and Cécile Mactaggart,donor
2010.20.1.3.2,创作者,Gao Jin,artist
2004.19.1.1.15,制作地点,China,place
2004.19.79.9,标题,Rocks and Stream in Bamboo Grove,title
2005.5.536.2,文化,Chinese,culture
2004.19.33,捐赠来源,Gift of Sandy and Cécile Mactaggart,donor
2004.19.28,对象类型,hanging scroll,type
2004.19.81,尺寸,overall: 143.5 cm x 51.1 cm; image: 124.2 cm x 36 cm,measurement
2005.5.558.1,标题,Front Panel of a Rank Badge for a Censor,title
2005.5.476,标题,Silk Tapestry Weave Dragon Robe,title
2005.5.548.2,文化,Chinese,culture
2010.20.1.4.1,尺寸,overall: 29.8 cm x 20.5 cm,measurement
2005.5.587.1.1,尺寸,overall: 21.8 cm x 11.4 cm,measurement
2005.5.581.1,标题,Right Side of the Front Panel of a Rank Badge for a Seventh Rank Civil Official,title
2005.5.40,标题,Embroidered Red Silk Daoist Priest Robe,title
2005.5.88.6,时期,Qing 19th century,period
2009.8.11.5,标题,Pouch for Puppet Costume,title
2005.5.526,制作地点,China,place
2004.19.90,创作者,Cai Jia,artist
2005.5.500,材质,gold wrapped silk thread; silk; silk floss; silk jacquard; silk satin; silver wrapped silk thread; embroidery,material
2005.5.57,材料术语,Brocade; Embroidery											 											  												 												 													 														View Materials Glossary Details » View Materials Glossary Details »,glossary
2004.19.1.1.16,文化,Chinese,culture
2005.5.263,捐赠来源,Gift of Sandy and Cécile Mactaggart,donor
2004.19.71.4,时期,Qing 17th century,period
2010.20.2.2,制作时间,19th century,date
2004.19.68.1.18,制作地点,China,place
2005.5.575,标题,Front and Back Panels of a Rank Badge for a Fifth Rank Civil Official,title
2004.19.91,材质,ink on paper,material
2004.19.3.14,尺寸,sheet: 43.3 cm x 35.2 cm; image: 31.1 cm x 21.2 cm,measurement
2005.5.536,制作地点,China,place
2005.5.139,制作地点,China,place
2004.19.1.1.29,时期,Qing 18th century,period
2004.19.79.2,标题,Rocks and Stream in Bamboo Grove,title
2005.5.88.1.1,类别,costume accessories,category
2004.19.42,材质,ink on paper,material
2005.5.169,材料术语,Embroidery											 											  												 												 													 														View Materials Glossary Details »,glossary
2005.5.554,材料术语,Embroidery											 											  												 												 													 														View Materials Glossary Details »,glossary
2004.19.72.5,描述,"This is the fifth leaf from the Figures in River Landscape album by Wang Gai (1677-1705), which is painted with ink and colour on paper. Each leaf contains a landscape, which was painted in situ by Wang Gai. Repeating themes throughout the album include figures immersed in the natural environment, which reflects the literati’s yearning and nostalgia. In this scene, a solitary man sits under a thatched hut along the bank of the river. The landscape appears quite barren, aside from a large tree shading the hut.",description
2011.16.1,捐赠来源,Gift of Sandy and Cécile Mactaggart,donor
2005.5.583.2,文化,Chinese,culture
2004.19.72.7,时期,Qing 18th century,period
2005.5.512,对象类型,sleeve band,type
2005.5.556,对象类型,rank badge,type
2005.5.61,标题,Pair of Embroidered Silk Sleeve Bands Mounted as a Panel,title
2005.5.298,制作时间,ca. 1860,date
2004.19.3.30,尺寸,sheet: 35.4 cm x 43.1 cm; image: 18.3 cm x 30.2 cm,measurement
2009.8.11.3,文化,Chinese,culture
2005.5.293.1,尺寸,overall: 109.3 cm x 46.6 cm,measurement
2005.5.74,时期,Qing 19th century,period
2005.5.588.2,材料术语,Embroidery											 											  												 												 													 														View Materials Glossary Details »,glossary
2005.5.599,材料术语,Embroidery											 											  												 												 													 														View Materials Glossary Details »,glossary
2004.19.2.42,类别,albums,category
2005.5.309,捐赠来源,Gift of Sandy and Cécile Mactaggart,donor
2004.19.3.16,尺寸,sheet: 43.2 cm x 35.3 cm; image: 20.6 cm x 21.1 cm,measurement
2005.5.173,捐赠来源,Gift of Sandy and Cécile Mactaggart,donor
2005.5.337.1,时期,Qing 19th-20th centuries,period
2010.20.1.3.3,制作时间,1771,date
2004.19.68.1,对象类型,portfolio,type
2005.5.162,制作地点,China,place
2005.5.560.2,制作时间,1851-1861,date
2004.19.1.1.16,制作时间,ca. 1759,date
2004.19.1.1.26,类别,albums,category
2005.5.320,材质,purple silk gauze brocaded with silk,material
2005.5.442,类别,textiles,category
2005.5.54,制作地点,China,place
2004.19.9.10,时期,Qing 17th-18th centuries,period
2005.5.340,尺寸,overall: 70 cm x 6.7 cm,measurement
2005.5.245,制作地点,China,place
2005.5.221,捐赠来源,Gift of Sandy and Cécile Mactaggart,donor
2005.5.610,时期,Qing 19th century,period
2004.19.72.12,时期,Qing 18th century,period
2005.5.635,材质,black silk satin edged with blue silk satin facings embroidered with silk and metal-wrapped threads,material
2005.5.572.1.2,标题,Left Side of the Front Panel of a Rank Badge for a Fifth Rank Civil Official,title
2005.5.395,类别,textiles,category
2010.16.1.11,制作时间,ca. 1790,date
2004.19.29.2,文化,Chinese,culture
2005.5.244.2,制作时间,1662-1722,date
2005.5.526,尺寸,overall: 104.3 cm x 127.2 cm,measurement
2005.5.580.1.1,尺寸,overall: 28.2 cm x 15 cm,measurement
2004.19.38.20,对象类型,album leaf,type
2005.5.557,材质,gold wrapped silk thread; silk; silk floss; silk satin; embroidery,material
2004.19.9.10,尺寸,overall: 3.3 cm x 16.8 cm x 26.6 cm; image: 16 cm x 9.9 cm,measurement
2004.19.68.2,时期,Qing 18th century,period
2004.19.2.42,标题,Album Leaf from Illustrations of Chinese Costumes,title
2005.5.575.1.1,捐赠来源,Gift of Sandy and Cécile Mactaggart,donor
2005.5.440.2,文化,Chinese,culture
2005.5.452,文化,Chinese,culture
2004.19.75.2.1,制作地点,China,place
2005.5.549.1,制作地点,China,place
2004.19.79.9,制作地点,China,place
2005.5.548.2,描述,"Rank badges, always made in pairs, were placed on the front and back of surcoats in order to communicate their wearer’s rank during the Ming (1368-1644) and Qing dynasties (1644-1911). Different motifs were regulated by the imperial court, including bird motifs used only for civil officials while beasts were used for military officials. The hierarchy of ranks within these categories was represented by specific birds and beasts. This pair of rank badges features a silver pheasant representing the fifth rank of a civil official. This bird is identified by its white feathers, white crown with a red stripe and long tail. The front badge is made into two separate panels to accommodate the front opening of a surcoat, while the back badge is made in one piece. The patterns on the front and back badges are identical. This rank badge pair was decorated with delicate seed stitches, also referred to as “Peking knots” or ta tzu. Gold metal-wrapped thread is couched around some of the colourful motifs as a border. In the centre of the badge, a silver pheasant, standing on rocks above waves, looks toward a red sun in the upper left corner. An embellished canopy floats above the bird, while the Eight Buddhist treasures surround it, including lotuses, the wheel, the parasol, the vase, the conch, the fish and the endless knot. The border of the badge is decorated with blue and white floral motifs and gold geometric patterns.",description
2005.5.244.3,文化,Chinese,culture
2004.19.2.44,对象类型,album leaf,type
2005.5.24.2,尺寸,overall: 14.2 cm x 67.3 cm,measurement
2005.5.156,时期,Qing 19th-20th centuries,period
2005.5.362.1,文化,Chinese,culture
2005.5.404,类别,clothing,category
2010.16.1.10,制作时间,ca. 1790,date
2005.5.632.1,时期,Qing 18th-19th centuries,period
2004.19.68.1.12,描述,"A printed calligraphic piece with two square red seals.  This manuscript goes along with engraving .68.1.36. It is number 11, chronologically, in the set of 16 copperplate engravings.",description
2004.19.71.8,制作地点,China,place
2005.5.229,时期,Ming 14th-17th centuries,period
2005.5.82,制作时间,ca. 1860,date
2005.5.363.2,时期,Qing 19th century,period
2005.5.380.1,类别,clothing,category
2005.5.425,制作地点,China,place
2005.5.343.1,材质,black silk gauze embroidered with silk and metal-wrapped threads edged with metal-wrapped thread and black silk brocade,material
2005.5.123,尺寸,overall: 152.5 cm x 98.3 cm,measurement
2005.5.80,时期,Qing 19th century,period
2004.19.68.1.31,尺寸,overall: 63.2 cm x 112.4 cm; image: 54 cm x 93.1 cm,measurement
2005.5.518,对象类型,yardage,type
2005.5.641,时期,Qing 19th century,period
2005.5.30,制作地点,China,place
2005.5.517,材质,gold wrapped silk thread; silk brocade,material
2004.19.2.36,材质,ink; paper,material
2009.8.1,制作时间,1890-1910,date
2005.5.559.1.1,时期,Qing 19th-20th centuries,period
2010.16.1.9,捐赠来源,Purchased by Museums and Collections Services,donor
2005.5.27,尺寸,overall: 74.5 cm x 175 cm,measurement
2005.5.602.1.1,制作地点,China,place
2004.19.2.29,描述,"This album leaf is a part of a 48-page album that depicts Chinese subjects participating in various aspects of daily life, including government business, daily life, cultural customs, modes of transportation, and corporal punishment. This leaf contains an ink and watercolour depiction of two ""priests"" or religious figures. The man on the left, with a shaved head and long black robe, is a Buddhist monk, while the man on the left, in a long blue robe and hair tied back, is a Daoist priest.",description
2005.5.545.2,类别,textiles,category
2005.5.440.1,捐赠来源,Gift of Sandy and Cécile Mactaggart,donor
2004.19.87,制作地点,China,place
2005.5.92,制作地点,China,place
2004.19.33,制作时间,1641,date
2005.5.533.1,材料术语,Brocade; Embroidery											 											  												 												 													 														View Materials Glossary Details » View Materials Glossary Details »,glossary
2005.5.621.4,文化,Chinese,culture
2004.19.20,时期,Ming 17th century,period
2005.5.531,制作地点,China,place
2005.5.81,材料术语,Embroidery											 											  												 												 													 														View Materials Glossary Details »,glossary
2022.7.5.2,制作地点,China,place
2005.5.433.2,对象类型,hanging,type
2005.5.500,文化,Chinese,culture
2005.5.605.2,尺寸,overall: 27 cm x 30 cm,measurement
2005.5.587.1.1,制作地点,China,place
2005.5.141,描述,"A hanging made from yellow silk satin embroidered with four five-clawed dragons using polychrome silk and metal-wrapped threads. The top two dragons are ascending while the bottom dragons are descending. The background is adorned with clouds, flames, bats, and Buddhist symbols. There is a lotus flower in the top center and a flaming pearl in the bottom center. This large piece is made from six panels of satin fabric stitched together and also has a silk lining.",description
2005.5.564.2,制作时间,1875-1908,date
2004.19.9.6,类别,albums,category
2005.5.597,标题,Back Panel of a Rank Badge for a Censor,title
2005.5.369,文化,Chinese,culture
2004.19.64.1,标题,Summer Retreat in a River Village,title
2004.19.71.4,制作地点,China,place
2004.19.68.1.15,捐赠来源,Gift of Sandy and Cécile Mactaggart,donor
2005.5.308,尺寸,overall: 122.4 diameter,measurement
2010.21.5,对象类型,panel,type
2004.19.1.1.31,文化,Chinese,culture
2005.5.337.2.3,捐赠来源,Gift of Sandy and Cécile Mactaggart,donor
2005.5.70,尺寸,overall: 72.2 cm x 28.5 cm,measurement
2005.5.553,材料术语,Embroidery											 											  												 												 													 														View Materials Glossary Details »,glossary
2005.5.140,捐赠来源,Gift of Sandy and Cécile Mactaggart,donor
2005.5.245.2,尺寸,overall: 61.4 cm x 12.2 cm,measurement
2005.5.591.1,材质,silk and metal-wrapped thread embroidery,material
2005.5.606,材料术语,Brocade											 											  												 												 													 														View Materials Glossary Details »,glossary
2005.5.582,制作地点,China,place
2005.5.588.2,尺寸,overall: 28.7 cm x 27.5 cm,measurement
2004.19.48,题跋,Inscribed 'Fei'an (painted) at age 63' and impressed with 1artist seal.,inscription
2005.5.331,捐赠来源,Gift of Sandy and Cécile Mactaggart,donor
2004.19.78.2,时期,Qing 18th-19th centuries,period
2005.5.640,标题,Framed Silk Three Tiered Collar,title
2004.19.3.29,时期,Qing 18th-19th centuries,period
2005.5.389,尺寸,overall: 148 cm x 188.5 cm,measurement
2004.19.54.2.1,描述,Base of storage box for handscroll.,description
2009.8.2,材料术语,pheasant; embroidery; badge; Chinese,glossary
2005.5.384,对象类型,sleeve band,type
2004.19.2.43,类别,albums,category
2005.5.123,对象类型,panel,type
2004.19.2.30,类别,albums,category
2004.19.19,文化,Chinese,culture
2005.5.396,尺寸,overall: 126 cm x 469 cm,measurement
2005.5.226.1,制作地点,China,place
2005.5.553,描述,"Rank badges, always made in pairs, were placed on the front and back of surcoats in order to communicate their wearer’s rank during the Ming (1368-1644) and Qing dynasties (1644-1911). Different motifs were regulated by the imperial court, including bird motifs used only for civil officials while beasts were used for military officials. The hierarchy of ranks within these categories was represented by specific birds and beasts. This pair of rank badges features a silver pheasant representing the fifth rank of a civil official. This bird is identified by its white feathers, white crown with a red stripe and long tail. The front badge is made into two separate panels to accommodate the front opening of a surcoat, while the back badge is made in one piece. The patterns on the front and back badges are identical. This rank badge pair was decorated with smooth satin stitches surrounded by couched metal-wrapped threads. Bats (which represent fortune) and auspicious motifs are scattered among coin-shaped clouds. The background is filled with green geometric lines and  wan symbols (similar in form, but not ideology, to a swastika), which symbolize infinity. In the centre of the badge is a silver pheasant standing on rocks above the waves and water, looking toward a red sun in the upper right corner. The position of the sun on the right side of the badge indicates that the badge was used by the spouse of a civil official and decorated with her husband’s rank.",description
2004.19.38.3,材质,ink and colour on paper,material
2005.5.586,标题,Front Panel of a Rank Badge for a Ninth Rank Civil Official,title
2004.19.1.1.58,捐赠来源,Gift of Sandy and Cécile Mactaggart,donor
2005.5.261.1,标题,Silk Tapestry Weave Jacket,title
2004.19.11.10,制作时间,1719,date
2010.16.1.3,材质,ink and colour on paper,material
2005.5.403.2,时期,Modern 20th century,period
2005.5.599.1.2,尺寸,overall: 30.3 cm x 14.7 cm,measurement
2005.5.405,对象类型,robe,type
2005.5.337.2.3,制作地点,China,place
2004.19.1.1.10,文化,Chinese,culture
2010.21.5.1,时期,Qing 19th-20th centuries,period
2005.5.237,材料术语,Brocade; Embroidery											 											  												 												 													 														View Materials Glossary Details » View Materials Glossary Details »,glossary
2005.5.552,对象类型,rank badge,type
2005.5.138,对象类型,hanging,type
2005.5.606.2,制作时间,1821-1850,date
2005.5.599,类别,textiles,category
2005.5.629,制作地点,China,place
2005.5.264,材质,blue silk satin embroidered with silk and metal-wrapped threads,material
2009.8.11.5,尺寸,overall: 7.6 cm x 12.6 cm x 1.5 cm,measurement
2005.5.385,文化,Chinese,culture
2010.16.1.14,捐赠来源,Purchased by Museums and Collections Services,donor
2004.19.2.19,制作地点,China,place
2004.19.2.43,标题,Album Leaf from Illustrations of Chinese Costumes,title
2005.5.567,捐赠来源,Gift of Sandy and Cécile Mactaggart,donor
2004.19.68.1.18,尺寸,overall: 63.2 cm x 112.4 cm; image: 52.3 cm x 92.9 cm,measurement
2005.5.211,材质,pale blue silk damask embroidered with silk and edged with embroidered off-white silk satin sleeve bands and facings,material
2005.5.149,制作地点,China,place
2004.19.54.2.2,捐赠来源,Gift of Sandy and Cécile Mactaggart,donor
2005.5.120,对象类型,hanging,type
2005.5.506.2,尺寸,overall: 65.6 cm x 28.1 cm,measurement
2005.5.559.1.1,标题,Right Side of the Front Panel of a Rank Badge for a Fourth Rank Military Official,title
2005.5.533.2,捐赠来源,Gift of Sandy and Cécile Mactaggart,donor
2005.5.354,时期,Qing 18th-19th centuries,period
2004.19.38.19,制作地点,China,place
2005.5.226.2,类别,clothing,category
2004.19.45,制作地点,China,place
2004.19.38.16,创作者,Ren Yi,artist
2005.5.593.1.1,尺寸,overall: 27.9 cm x 14.8 cm,measurement
2010.17.89,类别,prints,category
2005.5.432,制作地点,China,place
2005.5.429,标题,Yellow Silk Brocade,title
2005.5.607,类别,textiles,category
2005.5.46,文化,Chinese,culture
2005.5.476,捐赠来源,Gift of Sandy and Cécile Mactaggart,donor
2005.5.125,时期,Qing 18th century,period
2005.5.550.1,制作时间,1862-1874,date
2005.5.362,描述,"With the fall of the Qing dynasty in 1911, the rank badge system was abolished along with the end of the imperial bureaucracy. However, in 1916, Yuan Shikai attempted to restore the Qing Empire by declaring himself Emperor Hongxian. This pair of embroidered roundels, featuring the Twelve Symbols of Imperial Authority, serves as an example of his effort to invoke imperial imagery. There are nine motifs of the Twelve Symbols embroidered on the roundel, including a pair of cups, seaweed, fire, grain, an axe, a pheasant, a dragon, mountains and the fu character in the centre. Encircling the entire composition is a border of circular ruyi-shaped clouds.",description
2009.8.2,捐赠来源,Gift of Jean Small,donor
2005.5.69.2,尺寸,overall: 77.4 cm x 8.8 cm,measurement
2004.19.3.23,尺寸,sheet: 43.2 cm x 35.3 cm; image: 35.2 cm x 22.2 cm,measurement
2004.19.57.1,文化,Chinese,culture
2005.5.554.2,材料术语,Embroidery											 											  												 												 													 														View Materials Glossary Details »,glossary
2005.5.186,类别,clothing,category
2005.5.386,捐赠来源,Gift of Sandy and Cécile Mactaggart,donor
2004.19.1.1.31,时期,Qing 18th century,period
2005.5.98,制作地点,China,place
2005.5.341,标题,Beaded Leather Belt,title
2005.5.583.1,捐赠来源,Gift of Sandy and Cécile Mactaggart,donor
2005.5.572.1.2,制作时间,1851-1861,date
2005.5.292.1,文化,Chinese,culture
2005.5.621.7,标题,Trunk,title
2004.19.41,文化,Chinese,culture
2005.5.544.1,时期,Qing 19th century,period
2004.19.72.1,文化,Chinese,culture
2010.20.1.5.4,制作时间,1771,date
2005.5.291,捐赠来源,Gift of Sandy and Cécile Mactaggart,donor
2005.5.429,文化,Chinese,culture
2004.19.1.1.4,描述,"This album leaf is part of a section of the illustrations of costumes from the Qianlong court, Huangchao liqi tushi (“The Regulations for the Ceremonial Paraphernalia of the [Qing] Dynasty”). In total there are 34 folios that depict costumes appropriate for the Empress Dowager or Empress to wear at the imperial court along with short descriptive captions. This is the left leaf of one folio (attached to 2004.19.1.5), and it contains nine columns of regular script calligraphy that describes the regulations for a winter court skirt for the empress dowager and empress.",description
2004.19.68.1.7,标题,"The Qianlong Emperor’s Conquests: Pacification of Cities in the West; Depictions of Victories over the Eleuths, Dzungars and Other Central Asian Peoples in Xinjiang",title
2004.19.63,材质,ink and colour on paper,material
2005.5.354,材质,embroidery; gold wrapped silk thread; silk; silk brocade; lacquered wood; plexiglas; paper tape; cardboard; dye; tapestry weave,material
2005.5.476,制作地点,China,place
2005.5.550.1,描述,"Rank badges, always made in pairs, were placed on the front and back of surcoats in order to communicate their wearer’s rank during the Ming (1368-1644) and Qing dynasties (1644-1911). Different motifs were regulated by the imperial court, including bird motifs used only for civil officials, while beasts were used for military officials. The hierarchy of ranks within these categories was represented by specific birds and beasts. This rank badge features a silver pheasant, representing a fifth rank civil official. In the Ming Dynasty, the birds on rank badges were often presented in pairs in an upper and lower position. Later, in the Qing Dynasty, only one bird or beast was seen on rank badges. It is perched on a rock and gazing at a sun disc in the top right corner. The pattern on the badge is embroidered with fine seed stitches of multicoloured silk floss. The metallic  background is made from couched gold metal-wrapped thread.",description
2004.19.1.1.65,时期,Qing 18th century,period
2004.19.2.31,时期,Qing 18th century,period
2005.5.604.1,材质,gold wrapped silk thread; silk floss; silk satin; silver wrapped silk thread; embroidery,material
2005.5.508,时期,Qing 19th century,period
2010.21.9.1,制作地点,China,place
2004.19.1.1.12,制作地点,China,place
2005.5.226,材质,black silk gauze embroidered with silk and metal-wrapped threads,material
2005.5.358,类别,clothing,category
2004.19.1.1.12,描述,"This album leaf is part of a section of the illustrations of costumes from the Qianlong court, Huangchao liqi tushi (“The Regulations for the Ceremonial Paraphernalia of the [Qing] Dynasty”). In total there are 34 folios that depict costumes appropriate for the Empress Dowager or Empress to wear at the imperial court along with short descriptive captions. This is the left leaf of one folio (attached to 2004.19.1.13) and it contains five columns of regular script calligraphy describing the regulations of summer court robe (chaopao), the second style for the empress dowager and empress. The text on this leaf continues from the text on the right side.",description
2005.5.617,材质,silk floss; silk satin; silk twist; embroidery,material
2010.20.1.2.4,类别,published works,category
2005.5.118,尺寸,overall: 230.2 cm x 217 cm,measurement
2005.5.231,对象类型,panel,type
2005.5.467,制作地点,China,place
2005.5.118,类别,textiles,category
2005.5.95,类别,clothing,category
2005.5.291,制作地点,China,place
2005.5.140.1,文化,Chinese,culture
2004.19.68.1.19,对象类型,print,type
2005.5.519,描述,"A kesi, or tapestry weave, table frontal that depicts two pheasants gazing towards each other on rocks in a peony-filled garden. The pheasant on the right is male, while the left one is female. This typical composition speaks to marriage and romantic relationships. The  pink and purple peonies that surround the birds represent wealth, honour, and good fortune. In the upper portion of the table frontal there are peaches, a crane and the roof of a building. The background and borders are woven with scintillating gold-wrapped thread, which adds luxury to this textile. The border also includes a phoenix and lotus flower motif.",description
2004.19.1.1.19,类别,albums,category
2004.19.1.1.64,材质,ink; silk; paper,material
2005.5.385,时期,Qing 18th century,period
2004.19.1.1.1,制作地点,China,place
2004.19.15,文化,Chinese,culture
2005.5.382.2,材质,gold wrapped silk thread; rayon; silk; silk floss; silk satin; mat board; embroidery,material
2005.5.596.2,描述,"Rank badges, always made in pairs, were placed on the front and back of surcoats in order to communicate their wearer’s rank during the Ming (1368-1644) and Qing dynasties (1644-1911). Different motifs were regulated by the imperial court, including bird motifs used only for civil officials, while beasts were used for military officials. The hierarchy of ranks within these categories was represented by specific birds and beasts.  This rank badge features a tiger, symbolizing a fourth rank military official. The tiger is crouching on a rock and surrounded by ruyi-shaped clouds. The pattern on the badge is embroidered with fine seed stitches. The border is adorned with bats and shou characters (symbolizing longevity).",description
2005.5.561.1.2,类别,textiles,category
2005.5.563,时期,Qing 19th-20th centuries,period
2005.5.21,尺寸,overall: 85.4 cm x 212.6 cm,measurement
2010.20.1.7.6,创作者,Gao Jin,artist
2010.20.1.6,制作地点,China: Beijing,place
2005.5.280.2,文化,Chinese,culture
2005.5.75,材料术语,Embroidery											 											  												 												 													 														View Materials Glossary Details »,glossary
2004.19.3.28,对象类型,album leaf,type
2005.5.337.1,对象类型,hat,type
2010.20.1.7.4,创作者,Gao Jin,artist
2004.19.3.11,对象类型,album leaf,type
2005.5.403.4.2,文化,Chinese,culture
2005.5.596.1,材料术语,Embroidery											 											  												 												 													 														View Materials Glossary Details »,glossary
2004.19.1.1.1,题跋,"皇太后 皇后夏朝裙  謹按 本朝定制 皇太后 皇后夏朝裙片金緣緞紗各惟其時餘俱如冬朝裙Translation of the Chinese text: ""Illustration of Summer court skirt chaoqun for the Empress Dowager…   													皇太后 皇后夏朝裙  謹按 本朝定制 皇太后 皇后夏朝裙片金緣緞紗各惟其時餘俱如冬朝裙Translation of the Chinese text: ""Illustration of Summer court skirt chaoqun for the Empress Dowager and Empress; In accordance with the decree of the present dynasty: the summer court skirt for the Empress Dowager and the Empress has bands of gold embroidery, satin, and gauze, each appropriate to the season; everything else is like the winter skirt""  (Translated and transcribed by Lisa Claypool, Ed., China’s Imperial Modern: The Painter’s Craft, Edmonton, AB: University of Alberta Museums, 2012, p. 105) On the reverse of the piece ""(67)"" is written in pencil at the top left corner.  Below the pencil number is a black ink marking composed of three short vertical lines and three short horizontal lines.  Read More +",inscription
2005.5.628,文化,Chinese,culture
2005.5.568,类别,textiles,category
2010.17.86,创作者,"Zhang, Zhihe",artist
2005.5.403.3,类别,clothing,category
2005.5.450,类别,textiles,category
2004.19.9.9,文化,Chinese,culture
2005.5.321,对象类型,robe,type
2005.5.145.2,捐赠来源,Gift of Sandy and Cécile Mactaggart,donor
2005.5.279,捐赠来源,Gift of Sandy and Cécile Mactaggart,donor
2004.19.47,尺寸,sheet: 183.5 cm x 109.2 cm; image: 79.1 cm x 96.5 cm,measurement
2004.19.78.1,文化,Chinese,culture
2005.5.294.2,标题,Silk Fragmentary Panel from a Woman's Informal Robe,title
2004.19.11.2,创作者,Yuan Jiang,artist
2004.19.3.22,类别,albums,category
2005.5.618,尺寸,overall: 27.2 cm x 15.1 cm,measurement
2004.19.72.1,时期,Qing 18th century,period
2004.19.40,材质,ink on paper,material
2005.5.578.2,制作时间,1875-1908,date
2004.19.64,尺寸,sheet: 33 cm x 1003.3 cm; image: 27.2 cm x 189.9 cm,measurement
2005.5.284.1,尺寸,overall: 197 cm x 62.5 cm,measurement
2005.5.141,尺寸,overall: 381 cm x 252.5 cm,measurement
2005.5.594.2,文化,Chinese,culture
2005.5.88.4,时期,Qing 19th century,period
2005.5.460,标题,Pink Silk Damask Jacket,title
2005.5.502,对象类型,panel,type
2004.19.73.2,捐赠来源,Gift of Sandy and Cécile Mactaggart,donor
2005.5.239,类别,textiles,category
2004.19.68.1.19,类别,prints,category
2010.21.3,制作时间,19th century,date
2005.5.523,材质,yellow silk satin embroidered with silk and metal-wrapped threads and edged with embroidered purple silk satin,material
2004.19.8,尺寸,sheet: 196.1 cm x 83.1 cm; image: 72.7 cm x 65.4 cm,measurement
2005.5.512.2,文化,Chinese,culture
2004.19.55,捐赠来源,Gift of Sandy and Cécile Mactaggart,donor
2004.19.2.1,捐赠来源,Gift of Sandy and Cécile Mactaggart,donor
2005.5.105,制作地点,Tibet,place
2005.5.321,材料术语,Embroidery											 											  												 												 													 														View Materials Glossary Details »,glossary
2004.19.12,题跋,Signed by Dongzhuang Yu and impressed with 1 seal of the artist.,inscription
2005.5.69,捐赠来源,Gift of Sandy and Cécile Mactaggart,donor
2005.5.244.2,捐赠来源,Gift of Sandy and Cécile Mactaggart,donor
2004.19.2.11,制作地点,China,place
2005.5.525,类别,clothing,category
2005.5.542,文化,Chinese,culture
2005.5.535,捐赠来源,Gift of Sandy and Cécile Mactaggart,donor
2004.19.34,对象类型,hanging scroll,type
2005.5.554.2,类别,textiles,category
2005.5.576.1,捐赠来源,Gift of Sandy and Cécile Mactaggart,donor
2016.3.1.1.2,类别,textiles,category
2005.5.353,文化,Chinese,culture
2010.20.2.2,捐赠来源,Gift of Sandy and Cécile Mactaggart,donor
2005.5.35,文化,Chinese,culture
2004.19.1,制作时间,ca. 1759,date
2005.5.538,材质,silk; silk brocade; silk floss; silk satin; embroidery; silk ribbon,material
2005.5.632.1,对象类型,spectacles,type
2005.5.418,尺寸,overall: 202.5 cm x 116.5 cm,measurement
2005.5.580,标题,Front and Back Panels of a Rank Badge for a Seventh Rank Civil Official,title
2005.5.567.2,材质,gold wrapped silk thread; silk floss; silk satin; silver wrapped silk thread; embroidery,material
2005.5.558.1,时期,Qing 19th-20th centuries,period
2005.5.197,类别,clothing,category
2004.19.44,文化,Chinese,culture
2005.5.302,制作地点,China,place
2010.16.1.14,对象类型,album leaf,type
2005.5.69,制作地点,China,place
2005.5.244.2,制作地点,China,place
2005.5.31,捐赠来源,Gift of Sandy and Cécile Mactaggart,donor
2005.5.38,文化,Chinese,culture
2005.5.639.1,对象类型,chair cover,type
2005.5.130,文化,Chinese,culture
2005.5.621.5.2.2,类别,containers,category
2010.20.1.3.6,文化,Chinese,culture
2010.21.9.1,材质,White-marble stone,material
2005.5.172,对象类型,robe,type
2004.19.9.9,类别,albums,category
2004.19.1.1.8,文化,Chinese,culture
2004.19.73.3,材质,linen,material
